2
4
150
8
20 10 1
50 0 1
50 0 1
50 0 1
2 1 0 0
3 1 0 1
4 1 0 2
2 1 1 0
3 1 1 1
4 1 1 2
2 1 2 0
3 1 2 1
4 1 2 2
2 1 3 0
3 1 3 1
4 1 3 2
2 1 4 0
3 1 4 1
4 1 4 2
2 1 5 0
3 1 5 1
4 1 5 2
2 1 6 0
3 1 6 1
4 1 6 2
2 1 7 0
3 1 7 1
4 1 7 2
2 1 8 0
3 1 8 1
4 1 8 2
2 1 9 0
3 1 9 1
4 1 9 2
2 1 10 0
3 1 10 1
4 1 10 2
2 1 11 0
3 1 11 1
4 1 11 2
2 1 12 0
3 1 12 1
4 1 12 2
2 1 13 0
3 1 13 1
4 1 13 2
2 1 14 0
3 1 14 1
4 1 14 2
2 1 15 0
3 1 15 1
4 1 15 2
2 1 16 0
3 1 16 1
4 1 16 2
2 1 17 0
3 1 17 1
4 1 17 2
2 1 18 0
3 1 18 1
4 1 18 2
2 1 19 0
3 1 19 1
4 1 19 2
2 1 20 0
3 1 20 1
4 1 20 2
2 1 21 0
3 1 21 1
4 1 21 2
2 1 22 0
3 1 22 1
4 1 22 2
2 1 23 0
3 1 23 1
4 1 23 2
2 1 24 0
3 1 24 1
4 1 24 2
2 1 25 0
3 1 25 1
4 1 25 2
2 1 26 0
3 1 26 1
4 1 26 2
2 1 27 0
3 1 27 1
4 1 27 2
2 1 28 0
3 1 28 1
4 1 28 2
2 1 29 0
3 1 29 1
4 1 29 2
2 1 30 0
3 1 30 1
4 1 30 2
2 1 31 0
3 1 31 1
4 1 31 2
2 1 32 0
3 1 32 1
4 1 32 2
2 1 33 0
3 1 33 1
4 1 33 2
2 1 34 0
3 1 34 1
4 1 34 2
2 1 35 0
3 1 35 1
4 1 35 2
2 1 36 0
3 1 36 1
4 1 36 2
2 1 37 0
3 1 37 1
4 1 37 2
2 1 38 0
3 1 38 1
4 1 38 2
2 1 39 0
3 1 39 1
4 1 39 2
2 1 40 0
3 1 40 1
4 1 40 2
2 1 41 0
3 1 41 1
4 1 41 2
2 1 42 0
3 1 42 1
4 1 42 2
2 1 43 0
3 1 43 1
4 1 43 2
2 1 44 0
3 1 44 1
4 1 44 2
2 1 45 0
3 1 45 1
4 1 45 2
2 1 46 0
3 1 46 1
4 1 46 2
2 1 47 0
3 1 47 1
4 1 47 2
2 1 48 0
3 1 48 1
4 1 48 2
2 1 49 0
3 1 49 1
4 1 49 2
